Ticket ID,Customer,Issue Description,Resolution Time,Category
TKT-1001,ggl,Forgot my VPN password and locked out of internal portal,1.5,
TKT-1002,Google Inc,Monitor keeps flickering when connecting via HDMI cable,45.0,
TKT-1003,GGL LLC,Cannot ping the local server 192.168.1.5 timing out continuously,8.0,
TKT-1004,Amazon,Excel freezes every time I try to run the monthly macro,4.0,
TKT-1005,amzn,Laptop battery draining totally within 30 minutes,49.5,
TKT-1006,Microsoft,Need permission access to the new HR shared drive folder,1.0,
TKT-1007,MSFT,Photoshop crashing with memory error code 0xc0000,6.0,
TKT-1008,Micro Soft,Office Wi-fi drops connection randomly on 3rd floor,12.0,
TKT-1009,Salesforce,Request password reset for Salesforce CRM account,1.5,
TKT-1010,SFDC,Keyboard missing F5 key and trackpad is sticky,52.0,
TKT-1011,Apple,Can't connect to printer on 2nd floor,3.0,
TKT-1012,AAPL,Screen turns blue when I open more than 5 chrome tabs,18.0,
TKT-1013,ggl,Mouse disconnects randomly during the day,24.0,
TKT-1014,Amazon,Unable to access the main database IP 10.0.0.5,15.5,
TKT-1015,Salesforce,Need to revoke access for terminated employee,0.5,
TKT-1016,Google Inc,Illustrator does not save files to the cloud properly,4.5,
TKT-1017,Apple Inc,Docking station is unresponsive and monitor won't wake up,55.0,
TKT-1018,MSFT,Zoom meeting stutters badly on the main conference room TV,15.5,
TKT-1019,amzn,Cannot open attached PDF files in Outlook,3.0,
TKT-1020,GGL,My desk phone has no dial tone,48.5,
TKT-1021,SFDC,Requesting admin rights to install a data visualization tool,2.0,
TKT-1022,Micro Soft,Router on 5th floor keeps rebooting itself,25.0,
TKT-1023,Apple,Need an external hard drive formatted for Mac,4.5,
TKT-1024,Amazon Web,Jira dashboard is loading extremely slowly since morning,4.5,
TKT-1025,Google,Need 2FA token reset for my phone,1.0,
TKT-1026,Sales force,Headset microphone not picking up my voice during calls,36.5,
TKT-1027,MSFT,VPN keeps dropping every 15 minutes while working from home,12.0,
TKT-1028,AAPL,Can you bypass the firewall for my new development app?,8.0,
TKT-1029,amzn,Laptop screen cracked after falling from desk,60.0,
TKT-1030,GGL LLC,Spam filter is blocking legitimate emails from our partner,5.5,
TKT-1031,Google Inc,Motherboard replacement required for workstation 102,72.0,
TKT-1032,amzn,RAM memory upgrade needed for the main data rendering unit,50.5,
